horizon,excluded_year,beta,beta_full,beta_change,nobs
1m,1996,1.476542225976315,1.4252923241381676,0.05124990183814737,6533
1m,1997,1.417130992675683,1.4252923241381676,-0.008161331462484656,6534
1m,1998,1.2877174054085994,1.4252923241381676,-0.13757491872956829,6535
1m,1999,1.384332330922214,1.4252923241381676,-0.04095999321595367,6533
1m,2000,1.421674578489401,1.4252923241381676,-0.0036177456487667126,6533
1m,2001,1.2934464673536723,1.4252923241381676,-0.13184585678449534,6537
1m,2002,1.3825428391053685,1.4252923241381676,-0.042749485032799184,6535
1m,2003,1.4347331040704139,1.4252923241381676,0.009440779932246235,6535
1m,2004,1.4121557714638147,1.4252923241381676,-0.013136552674352986,6535
1m,2005,1.4359589227213756,1.4252923241381676,0.010666598583207954,6533
1m,2006,1.4457598975587949,1.4252923241381676,0.020467573420627216,6534
1m,2007,1.382802676380099,1.4252923241381676,-0.04248964775806874,6535
1m,2008,3.412328952419686,1.4252923241381676,1.9870366282815182,6532
1m,2009,1.2861697245542918,1.4252923241381676,-0.13912259958387585,6533
1m,2010,1.4259481198309019,1.4252923241381676,0.0006557956927342179,6533
1m,2011,1.3083087117953818,1.4252923241381676,-0.11698361234278587,6533
1m,2012,1.430521309623965,1.4252923241381676,0.005228985485797422,6535
1m,2013,1.5044609629137715,1.4252923241381676,0.07916863877560387,6533
1m,2014,1.4440725115366864,1.4252923241381676,0.018780187398518722,6533
1m,2015,1.358549213286512,1.4252923241381676,-0.06674311085165563,6533
1m,2016,1.445761574262505,1.4252923241381676,0.020469250124337313,6533
1m,2017,1.5448459397350416,1.4252923241381676,0.11955361559687394,6534
1m,2018,1.3450417374191406,1.4252923241381676,-0.08025058671902707,6534
1m,2019,1.477935935907857,1.4252923241381676,0.05264361176968935,6533
1m,2020,0.6331967840785847,1.4252923241381676,-0.7920955400595829,6532
1m,2021,1.424910986772765,1.4252923241381676,-0.0003813373654026897,6533
1m,2022,1.3734130035481615,1.4252923241381676,-0.051879320590006106,6534
3m,1996,1.471788900876189,1.3824351660205827,0.08935373485560638,6534
3m,1997,1.4048021287945862,1.3824351660205827,0.022366962774003518,6535
3m,1998,1.0880065347033374,1.3824351660205827,-0.2944286313172453,6535
3m,1999,1.349457146465215,1.3824351660205827,-0.03297801955536772,6534
3m,2000,1.390285371468642,1.3824351660205827,0.007850205448059366,6534
3m,2001,1.3536553911518998,1.3824351660205827,-0.028779774868682884,6538
3m,2002,1.4349067813013194,1.3824351660205827,0.05247161528073674,6536
3m,2003,1.3081780291915477,1.3824351660205827,-0.07425713682903501,6536
3m,2004,1.3885246499258237,1.3824351660205827,0.006089483905241,6536
3m,2005,1.3937854229753035,1.3824351660205827,0.011350256954720805,6534
3m,2006,1.4045223311610773,1.3824351660205827,0.02208716514049458,6535
3m,2007,1.3918186604437284,1.3824351660205827,0.009383494423145677,6536
3m,2008,3.3055188804118134,1.3824351660205827,1.9230837143912307,6533
3m,2009,0.8097602164308731,1.3824351660205827,-0.5726749495897095,6534
3m,2010,1.3167193027573025,1.3824351660205827,-0.06571586326328016,6534
3m,2011,1.2161001928780177,1.3824351660205827,-0.16633497314256496,6534
3m,2012,1.3875856346209914,1.3824351660205827,0.005150468600408686,6536
3m,2013,1.5084321970662795,1.3824351660205827,0.12599703104569682,6534
3m,2014,1.4494080977875339,1.3824351660205827,0.06697293176695118,6534
3m,2015,1.3028718654645879,1.3824351660205827,-0.07956330055599481,6534
3m,2016,1.4325275744327877,1.3824351660205827,0.05009240841220497,6534
3m,2017,1.5245465364824982,1.3824351660205827,0.14211137046191546,6535
3m,2018,1.3015602810059388,1.3824351660205827,-0.0808748850146439,6535
3m,2019,1.404816585047674,1.3824351660205827,0.02238141902709123,6534
3m,2020,0.6216219944959881,1.3824351660205827,-0.7608131715245946,6533
3m,2021,1.3704573934185158,1.3824351660205827,-0.011977772602066894,6534
3m,2022,1.4533093011613147,1.3824351660205827,0.07087413514073204,6535
