horizon,sample,metric,absolute_difference,tolerance,tolerance_utilization,within_tolerance
1m,1996_2022,alpha,0.0043542023910032,0.01,0.43542023910032,True
1m,1996_2022,alpha_se,4.5203066392225655e-05,0.01,0.0045203066392225655,True
1m,1996_2022,beta,0.1437076758618323,0.2,0.7185383793091615,True
1m,1996_2022,beta_se,0.0053046853523672,0.1,0.05304685352367199,True
1m,1996_2022,r2,0.0017244038829759,0.012,0.143700323581325,True
1m,2012_2022,alpha,0.0012961432553759,0.01,0.12961432553759,True
1m,2012_2022,alpha_se,0.0002609022846537,0.01,0.02609022846537,True
1m,2012_2022,beta,0.0163247156147239,0.2,0.0816235780736195,True
1m,2012_2022,beta_se,0.0209326174490777,0.1,0.20932617449077698,True
1m,2012_2022,r2,0.0004031802786369,0.012,0.033598356553075,True
3m,1996_2022,alpha,6.427204629898785e-05,0.01,0.006427204629898785,True
3m,1996_2022,alpha_se,0.0005203883980821,0.01,0.05203883980821,True
3m,1996_2022,beta,0.0565648339794173,0.2,0.2828241698970865,True
3m,1996_2022,beta_se,0.0108604414410997,0.1,0.108604414410997,True
3m,1996_2022,r2,0.0008838070138319,0.012,0.07365058448599167,True
3m,2012_2022,alpha,0.0013262665487976,0.01,0.13262665487976,True
3m,2012_2022,alpha_se,0.000309503354464,0.01,0.030950335446400003,True
3m,2012_2022,beta,0.0257895605412983,0.2,0.1289478027064915,True
3m,2012_2022,beta_se,0.0066803203008255,0.1,0.066803203008255,True
3m,2012_2022,r2,0.0014285618080774,0.012,0.11904681733978333,True
6m,1996_2022,alpha,0.0022461204230737,0.01,0.22461204230737,True
6m,1996_2022,alpha_se,0.0002160976109634,0.01,0.02160976109634,True
6m,1996_2022,beta,0.0137827043917888,0.2,0.068913521958944,True
6m,1996_2022,beta_se,0.0177062833378744,0.1,0.17706283337874398,True
6m,1996_2022,r2,0.0019974626787927,0.012,0.16645522323272502,True
6m,2012_2022,alpha,0.0003174609381206,0.01,0.03174609381206,True
6m,2012_2022,alpha_se,0.0009434133231095,0.01,0.09434133231095,True
6m,2012_2022,beta,0.0397998018895711,0.2,0.19899900944785548,True
6m,2012_2022,beta_se,0.0181926607437972,0.1,0.18192660743797198,True
6m,2012_2022,r2,0.0005410770850236,0.012,0.0450897570853,True
12m,1996_2022,alpha,0.0067590940301859,0.01,0.67590940301859,True
12m,1996_2022,alpha_se,0.0002789849750349,0.01,0.02789849750349,True
12m,1996_2022,beta,0.1677029156732281,0.2,0.8385145783661404,True
12m,1996_2022,beta_se,0.0261419992670219,0.1,0.261419992670219,True
12m,1996_2022,r2,0.0093197213755969,0.012,0.7766434479664084,True
12m,2012_2022,alpha,0.0038058841683254,0.01,0.38058841683253997,True
12m,2012_2022,alpha_se,0.0025468000411493,0.01,0.25468000411492997,True
12m,2012_2022,beta,0.1042274561490446,0.2,0.521137280745223,True
12m,2012_2022,beta_se,0.08071070094363,0.1,0.8071070094363,True
12m,2012_2022,r2,0.0108990616602282,0.012,0.9082551383523499,True
